# Assembly name:  ASM17555v1
# Organism name:  Saccharolobus solfataricus 98/2 (crenarchaeotes)
# Infraspecific name:  strain=98/2
# Taxid:          555311
# BioSample:      SAMN00001854
# BioProject:     PRJNA33849
# Submitter:      Washington State University
# Date:           2009-07-20
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    ACUK01
# Excluded from RefSeq: contaminated
# Assembly anomaly: contaminated
# GenBank assembly accession: GCA_000175555.1
# RefSeq assembly accession: GCF_000175555.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000175565.1	GCF_000175565.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ACUK01000432.1	unplaced-scaffold	na	na	ACUK01000432.1	=	NZ_ACUK01000432.1	Primary Assembly	1065	na
ACUK01000431.1	unplaced-scaffold	na	na	ACUK01000431.1	=	NZ_ACUK01000431.1	Primary Assembly	13169	na
ACUK01000430.1	unplaced-scaffold	na	na	ACUK01000430.1	=	NZ_ACUK01000430.1	Primary Assembly	3069	na
ACUK01000429.1	unplaced-scaffold	na	na	ACUK01000429.1	=	NZ_ACUK01000429.1	Primary Assembly	1508	na
ACUK01000428.1	unplaced-scaffold	na	na	ACUK01000428.1	=	NZ_ACUK01000428.1	Primary Assembly	212	na
ACUK01000427.1	unplaced-scaffold	na	na	ACUK01000427.1	=	NZ_ACUK01000427.1	Primary Assembly	1072	na
ACUK01000426.1	unplaced-scaffold	na	na	ACUK01000426.1	=	NZ_ACUK01000426.1	Primary Assembly	2398	na
ACUK01000425.1	unplaced-scaffold	na	na	ACUK01000425.1	=	NZ_ACUK01000425.1	Primary Assembly	175	na
ACUK01000424.1	unplaced-scaffold	na	na	ACUK01000424.1	=	NZ_ACUK01000424.1	Primary Assembly	2375	na
ACUK01000423.1	unplaced-scaffold	na	na	ACUK01000423.1	=	NZ_ACUK01000423.1	Primary Assembly	398	na
ACUK01000422.1	unplaced-scaffold	na	na	ACUK01000422.1	=	NZ_ACUK01000422.1	Primary Assembly	4379	na
ACUK01000421.1	unplaced-scaffold	na	na	ACUK01000421.1	=	NZ_ACUK01000421.1	Primary Assembly	198	na
ACUK01000420.1	unplaced-scaffold	na	na	ACUK01000420.1	=	NZ_ACUK01000420.1	Primary Assembly	132	na
ACUK01000419.1	unplaced-scaffold	na	na	ACUK01000419.1	=	NZ_ACUK01000419.1	Primary Assembly	1515	na
ACUK01000418.1	unplaced-scaffold	na	na	ACUK01000418.1	=	NZ_ACUK01000418.1	Primary Assembly	2514	na
ACUK01000417.1	unplaced-scaffold	na	na	ACUK01000417.1	=	NZ_ACUK01000417.1	Primary Assembly	2267	na
ACUK01000416.1	unplaced-scaffold	na	na	ACUK01000416.1	=	NZ_ACUK01000416.1	Primary Assembly	4549	na
ACUK01000415.1	unplaced-scaffold	na	na	ACUK01000415.1	=	NZ_ACUK01000415.1	Primary Assembly	2718	na
ACUK01000414.1	unplaced-scaffold	na	na	ACUK01000414.1	=	NZ_ACUK01000414.1	Primary Assembly	443	na
ACUK01000413.1	unplaced-scaffold	na	na	ACUK01000413.1	=	NZ_ACUK01000413.1	Primary Assembly	252	na
ACUK01000412.1	unplaced-scaffold	na	na	ACUK01000412.1	=	NZ_ACUK01000412.1	Primary Assembly	101	na
ACUK01000411.1	unplaced-scaffold	na	na	ACUK01000411.1	=	NZ_ACUK01000411.1	Primary Assembly	555	na
ACUK01000410.1	unplaced-scaffold	na	na	ACUK01000410.1	=	NZ_ACUK01000410.1	Primary Assembly	4290	na
ACUK01000409.1	unplaced-scaffold	na	na	ACUK01000409.1	=	NZ_ACUK01000409.1	Primary Assembly	228	na
ACUK01000408.1	unplaced-scaffold	na	na	ACUK01000408.1	=	NZ_ACUK01000408.1	Primary Assembly	811	na
ACUK01000407.1	unplaced-scaffold	na	na	ACUK01000407.1	=	NZ_ACUK01000407.1	Primary Assembly	125	na
ACUK01000406.1	unplaced-scaffold	na	na	ACUK01000406.1	=	NZ_ACUK01000406.1	Primary Assembly	4274	na
ACUK01000405.1	unplaced-scaffold	na	na	ACUK01000405.1	=	NZ_ACUK01000405.1	Primary Assembly	154	na
ACUK01000404.1	unplaced-scaffold	na	na	ACUK01000404.1	=	NZ_ACUK01000404.1	Primary Assembly	9273	na
ACUK01000403.1	unplaced-scaffold	na	na	ACUK01000403.1	=	NZ_ACUK01000403.1	Primary Assembly	307	na
ACUK01000402.1	unplaced-scaffold	na	na	ACUK01000402.1	=	NZ_ACUK01000402.1	Primary Assembly	453	na
ACUK01000401.1	unplaced-scaffold	na	na	ACUK01000401.1	=	NZ_ACUK01000401.1	Primary Assembly	7831	na
ACUK01000400.1	unplaced-scaffold	na	na	ACUK01000400.1	=	NZ_ACUK01000400.1	Primary Assembly	4812	na
ACUK01000399.1	unplaced-scaffold	na	na	ACUK01000399.1	=	NZ_ACUK01000399.1	Primary Assembly	620	na
ACUK01000398.1	unplaced-scaffold	na	na	ACUK01000398.1	=	NZ_ACUK01000398.1	Primary Assembly	148	na
ACUK01000397.1	unplaced-scaffold	na	na	ACUK01000397.1	=	NZ_ACUK01000397.1	Primary Assembly	407	na
ACUK01000396.1	unplaced-scaffold	na	na	ACUK01000396.1	=	NZ_ACUK01000396.1	Primary Assembly	199	na
ACUK01000395.1	unplaced-scaffold	na	na	ACUK01000395.1	=	NZ_ACUK01000395.1	Primary Assembly	1156	na
ACUK01000394.1	unplaced-scaffold	na	na	ACUK01000394.1	=	NZ_ACUK01000394.1	Primary Assembly	144	na
ACUK01000393.1	unplaced-scaffold	na	na	ACUK01000393.1	=	NZ_ACUK01000393.1	Primary Assembly	7919	na
ACUK01000392.1	unplaced-scaffold	na	na	ACUK01000392.1	=	NZ_ACUK01000392.1	Primary Assembly	123	na
ACUK01000391.1	unplaced-scaffold	na	na	ACUK01000391.1	=	NZ_ACUK01000391.1	Primary Assembly	355	na
ACUK01000390.1	unplaced-scaffold	na	na	ACUK01000390.1	=	NZ_ACUK01000390.1	Primary Assembly	299	na
ACUK01000389.1	unplaced-scaffold	na	na	ACUK01000389.1	=	NZ_ACUK01000389.1	Primary Assembly	183	na
ACUK01000388.1	unplaced-scaffold	na	na	ACUK01000388.1	=	NZ_ACUK01000388.1	Primary Assembly	103	na
ACUK01000387.1	unplaced-scaffold	na	na	ACUK01000387.1	=	NZ_ACUK01000387.1	Primary Assembly	124	na
ACUK01000386.1	unplaced-scaffold	na	na	ACUK01000386.1	=	NZ_ACUK01000386.1	Primary Assembly	201	na
ACUK01000385.1	unplaced-scaffold	na	na	ACUK01000385.1	=	NZ_ACUK01000385.1	Primary Assembly	7177	na
ACUK01000384.1	unplaced-scaffold	na	na	ACUK01000384.1	=	NZ_ACUK01000384.1	Primary Assembly	6172	na
ACUK01000383.1	unplaced-scaffold	na	na	ACUK01000383.1	=	NZ_ACUK01000383.1	Primary Assembly	1088	na
ACUK01000382.1	unplaced-scaffold	na	na	ACUK01000382.1	=	NZ_ACUK01000382.1	Primary Assembly	6259	na
ACUK01000381.1	unplaced-scaffold	na	na	ACUK01000381.1	=	NZ_ACUK01000381.1	Primary Assembly	369	na
ACUK01000380.1	unplaced-scaffold	na	na	ACUK01000380.1	=	NZ_ACUK01000380.1	Primary Assembly	2162	na
ACUK01000379.1	unplaced-scaffold	na	na	ACUK01000379.1	=	NZ_ACUK01000379.1	Primary Assembly	1350	na
ACUK01000378.1	unplaced-scaffold	na	na	ACUK01000378.1	=	NZ_ACUK01000378.1	Primary Assembly	360	na
ACUK01000377.1	unplaced-scaffold	na	na	ACUK01000377.1	=	NZ_ACUK01000377.1	Primary Assembly	626	na
ACUK01000376.1	unplaced-scaffold	na	na	ACUK01000376.1	=	NZ_ACUK01000376.1	Primary Assembly	313	na
ACUK01000375.1	unplaced-scaffold	na	na	ACUK01000375.1	=	NZ_ACUK01000375.1	Primary Assembly	3039	na
ACUK01000374.1	unplaced-scaffold	na	na	ACUK01000374.1	=	NZ_ACUK01000374.1	Primary Assembly	249	na
ACUK01000373.1	unplaced-scaffold	na	na	ACUK01000373.1	=	NZ_ACUK01000373.1	Primary Assembly	40193	na
ACUK01000372.1	unplaced-scaffold	na	na	ACUK01000372.1	=	NZ_ACUK01000372.1	Primary Assembly	315	na
ACUK01000371.1	unplaced-scaffold	na	na	ACUK01000371.1	=	NZ_ACUK01000371.1	Primary Assembly	101	na
ACUK01000370.1	unplaced-scaffold	na	na	ACUK01000370.1	=	NZ_ACUK01000370.1	Primary Assembly	439	na
ACUK01000369.1	unplaced-scaffold	na	na	ACUK01000369.1	=	NZ_ACUK01000369.1	Primary Assembly	186	na
ACUK01000368.1	unplaced-scaffold	na	na	ACUK01000368.1	=	NZ_ACUK01000368.1	Primary Assembly	846	na
ACUK01000367.1	unplaced-scaffold	na	na	ACUK01000367.1	=	NZ_ACUK01000367.1	Primary Assembly	278	na
ACUK01000366.1	unplaced-scaffold	na	na	ACUK01000366.1	=	NZ_ACUK01000366.1	Primary Assembly	167	na
ACUK01000365.1	unplaced-scaffold	na	na	ACUK01000365.1	=	NZ_ACUK01000365.1	Primary Assembly	2780	na
ACUK01000364.1	unplaced-scaffold	na	na	ACUK01000364.1	=	NZ_ACUK01000364.1	Primary Assembly	196	na
ACUK01000363.1	unplaced-scaffold	na	na	ACUK01000363.1	=	NZ_ACUK01000363.1	Primary Assembly	105	na
ACUK01000362.1	unplaced-scaffold	na	na	ACUK01000362.1	=	NZ_ACUK01000362.1	Primary Assembly	207	na
ACUK01000361.1	unplaced-scaffold	na	na	ACUK01000361.1	=	NZ_ACUK01000361.1	Primary Assembly	132	na
ACUK01000360.1	unplaced-scaffold	na	na	ACUK01000360.1	=	NZ_ACUK01000360.1	Primary Assembly	3584	na
ACUK01000359.1	unplaced-scaffold	na	na	ACUK01000359.1	=	NZ_ACUK01000359.1	Primary Assembly	907	na
ACUK01000358.1	unplaced-scaffold	na	na	ACUK01000358.1	=	NZ_ACUK01000358.1	Primary Assembly	187	na
ACUK01000357.1	unplaced-scaffold	na	na	ACUK01000357.1	=	NZ_ACUK01000357.1	Primary Assembly	3870	na
ACUK01000356.1	unplaced-scaffold	na	na	ACUK01000356.1	=	NZ_ACUK01000356.1	Primary Assembly	216	na
ACUK01000355.1	unplaced-scaffold	na	na	ACUK01000355.1	=	NZ_ACUK01000355.1	Primary Assembly	469	na
ACUK01000354.1	unplaced-scaffold	na	na	ACUK01000354.1	=	NZ_ACUK01000354.1	Primary Assembly	4173	na
ACUK01000353.1	unplaced-scaffold	na	na	ACUK01000353.1	=	NZ_ACUK01000353.1	Primary Assembly	913	na
ACUK01000352.1	unplaced-scaffold	na	na	ACUK01000352.1	=	NZ_ACUK01000352.1	Primary Assembly	109	na
ACUK01000351.1	unplaced-scaffold	na	na	ACUK01000351.1	=	NZ_ACUK01000351.1	Primary Assembly	7055	na
ACUK01000350.1	unplaced-scaffold	na	na	ACUK01000350.1	=	NZ_ACUK01000350.1	Primary Assembly	904	na
ACUK01000349.1	unplaced-scaffold	na	na	ACUK01000349.1	=	NZ_ACUK01000349.1	Primary Assembly	16969	na
ACUK01000348.1	unplaced-scaffold	na	na	ACUK01000348.1	=	NZ_ACUK01000348.1	Primary Assembly	3388	na
ACUK01000347.1	unplaced-scaffold	na	na	ACUK01000347.1	=	NZ_ACUK01000347.1	Primary Assembly	111	na
ACUK01000346.1	unplaced-scaffold	na	na	ACUK01000346.1	=	NZ_ACUK01000346.1	Primary Assembly	245	na
ACUK01000345.1	unplaced-scaffold	na	na	ACUK01000345.1	=	NZ_ACUK01000345.1	Primary Assembly	871	na
ACUK01000344.1	unplaced-scaffold	na	na	ACUK01000344.1	=	NZ_ACUK01000344.1	Primary Assembly	2005	na
ACUK01000343.1	unplaced-scaffold	na	na	ACUK01000343.1	=	NZ_ACUK01000343.1	Primary Assembly	187	na
ACUK01000342.1	unplaced-scaffold	na	na	ACUK01000342.1	=	NZ_ACUK01000342.1	Primary Assembly	2782	na
ACUK01000341.1	unplaced-scaffold	na	na	ACUK01000341.1	=	NZ_ACUK01000341.1	Primary Assembly	155	na
ACUK01000340.1	unplaced-scaffold	na	na	ACUK01000340.1	=	NZ_ACUK01000340.1	Primary Assembly	709	na
ACUK01000339.1	unplaced-scaffold	na	na	ACUK01000339.1	=	NZ_ACUK01000339.1	Primary Assembly	2566	na
ACUK01000338.1	unplaced-scaffold	na	na	ACUK01000338.1	=	NZ_ACUK01000338.1	Primary Assembly	205	na
ACUK01000337.1	unplaced-scaffold	na	na	ACUK01000337.1	=	NZ_ACUK01000337.1	Primary Assembly	237	na
ACUK01000336.1	unplaced-scaffold	na	na	ACUK01000336.1	=	NZ_ACUK01000336.1	Primary Assembly	1120	na
ACUK01000335.1	unplaced-scaffold	na	na	ACUK01000335.1	=	NZ_ACUK01000335.1	Primary Assembly	2117	na
ACUK01000334.1	unplaced-scaffold	na	na	ACUK01000334.1	=	NZ_ACUK01000334.1	Primary Assembly	458	na
ACUK01000333.1	unplaced-scaffold	na	na	ACUK01000333.1	=	NZ_ACUK01000333.1	Primary Assembly	181	na
ACUK01000332.1	unplaced-scaffold	na	na	ACUK01000332.1	=	NZ_ACUK01000332.1	Primary Assembly	117	na
ACUK01000331.1	unplaced-scaffold	na	na	ACUK01000331.1	=	NZ_ACUK01000331.1	Primary Assembly	304	na
ACUK01000330.1	unplaced-scaffold	na	na	ACUK01000330.1	=	NZ_ACUK01000330.1	Primary Assembly	4849	na
ACUK01000329.1	unplaced-scaffold	na	na	ACUK01000329.1	=	NZ_ACUK01000329.1	Primary Assembly	1031	na
ACUK01000328.1	unplaced-scaffold	na	na	ACUK01000328.1	=	NZ_ACUK01000328.1	Primary Assembly	9597	na
ACUK01000327.1	unplaced-scaffold	na	na	ACUK01000327.1	=	NZ_ACUK01000327.1	Primary Assembly	177	na
ACUK01000326.1	unplaced-scaffold	na	na	ACUK01000326.1	=	NZ_ACUK01000326.1	Primary Assembly	340	na
ACUK01000325.1	unplaced-scaffold	na	na	ACUK01000325.1	=	NZ_ACUK01000325.1	Primary Assembly	489	na
ACUK01000324.1	unplaced-scaffold	na	na	ACUK01000324.1	=	NZ_ACUK01000324.1	Primary Assembly	709	na
ACUK01000323.1	unplaced-scaffold	na	na	ACUK01000323.1	=	NZ_ACUK01000323.1	Primary Assembly	763	na
ACUK01000322.1	unplaced-scaffold	na	na	ACUK01000322.1	=	NZ_ACUK01000322.1	Primary Assembly	185	na
ACUK01000321.1	unplaced-scaffold	na	na	ACUK01000321.1	=	NZ_ACUK01000321.1	Primary Assembly	124	na
ACUK01000320.1	unplaced-scaffold	na	na	ACUK01000320.1	=	NZ_ACUK01000320.1	Primary Assembly	116	na
ACUK01000319.1	unplaced-scaffold	na	na	ACUK01000319.1	=	NZ_ACUK01000319.1	Primary Assembly	134	na
ACUK01000318.1	unplaced-scaffold	na	na	ACUK01000318.1	=	NZ_ACUK01000318.1	Primary Assembly	675	na
ACUK01000317.1	unplaced-scaffold	na	na	ACUK01000317.1	=	NZ_ACUK01000317.1	Primary Assembly	1628	na
ACUK01000316.1	unplaced-scaffold	na	na	ACUK01000316.1	=	NZ_ACUK01000316.1	Primary Assembly	715	na
ACUK01000315.1	unplaced-scaffold	na	na	ACUK01000315.1	=	NZ_ACUK01000315.1	Primary Assembly	983	na
ACUK01000314.1	unplaced-scaffold	na	na	ACUK01000314.1	=	NZ_ACUK01000314.1	Primary Assembly	4363	na
ACUK01000313.1	unplaced-scaffold	na	na	ACUK01000313.1	=	NZ_ACUK01000313.1	Primary Assembly	105437	na
ACUK01000312.1	unplaced-scaffold	na	na	ACUK01000312.1	=	NZ_ACUK01000312.1	Primary Assembly	3896	na
ACUK01000311.1	unplaced-scaffold	na	na	ACUK01000311.1	=	NZ_ACUK01000311.1	Primary Assembly	2570	na
ACUK01000310.1	unplaced-scaffold	na	na	ACUK01000310.1	=	NZ_ACUK01000310.1	Primary Assembly	1866	na
ACUK01000309.1	unplaced-scaffold	na	na	ACUK01000309.1	=	NZ_ACUK01000309.1	Primary Assembly	762	na
ACUK01000308.1	unplaced-scaffold	na	na	ACUK01000308.1	=	NZ_ACUK01000308.1	Primary Assembly	1759	na
ACUK01000307.1	unplaced-scaffold	na	na	ACUK01000307.1	=	NZ_ACUK01000307.1	Primary Assembly	7137	na
ACUK01000306.1	unplaced-scaffold	na	na	ACUK01000306.1	=	NZ_ACUK01000306.1	Primary Assembly	222	na
ACUK01000305.1	unplaced-scaffold	na	na	ACUK01000305.1	=	NZ_ACUK01000305.1	Primary Assembly	106	na
ACUK01000304.1	unplaced-scaffold	na	na	ACUK01000304.1	=	NZ_ACUK01000304.1	Primary Assembly	521	na
ACUK01000303.1	unplaced-scaffold	na	na	ACUK01000303.1	=	NZ_ACUK01000303.1	Primary Assembly	589	na
ACUK01000302.1	unplaced-scaffold	na	na	ACUK01000302.1	=	NZ_ACUK01000302.1	Primary Assembly	157	na
ACUK01000301.1	unplaced-scaffold	na	na	ACUK01000301.1	=	NZ_ACUK01000301.1	Primary Assembly	1350	na
ACUK01000300.1	unplaced-scaffold	na	na	ACUK01000300.1	=	NZ_ACUK01000300.1	Primary Assembly	2701	na
