example_1,example_2
Disable this command on your computer .,He was disabled in a car accident .
Her dog likes to tree squirrels .,This lot should be treed so that the house will be shaded in summer .
This will renovate my spirits .,They renovated the ceiling of the Sistine Chapel .
Surgeons must scrub prior to an operation .,She scrubbed his back .
Slip into something comfortable .,My grades are slipping .
Flush the meadows .,The sky flushed with rosy splendor .
Collapse the music stand .,The school system is collapsing .
Do n't fuss too much over the grandchildren -- they are quite big now .,She fusses over her husband .
"Direct your anger towards others , not towards yourself .",He directed all his energies into his dissertation .
The imperialist nation wanted to strangle the free trade between the two small countries .,A man in Boston has been strangling several dozen prostitutes .
I swear by my grandmother 's recipes .,Before God I swear I am innocent .
Triangulate the piece of cardboard .,The land surveyor worked by triangulating the plot .
What does the law say ?,The clock says noon .
Violate the sanctity of the church .,This sentence violates the rules of syntax .
The locks pound the water of the canal .,Pound the roots with a heavy flat stone .
I mess with the wardroom officers .,The afternoon breeze messed up my hair .
To bull railroad bonds .,He bulled his way in .
"If you average 10 , 20 and 24 , you get 18 .",The number of hours I work per work averages out to 40 .
Shoot cloth .,Shoot a star .
To crush grapes .,The car crushed the toy .
Let 's eliminate the course on Akkadian hieroglyphics .,This possibility can be eliminated from our consideration .
Indent the documents .,Indent the paragraphs of a letter .
The invaders spread their language all over the country .,A big oil spot spread across the water .
Switch to a different brand of beer .,I want to switch this red dress for a green one .
Undo the shoelace .,A single mistake undid the President and he had to resign .
Flick a piece of paper across the table .,He flicked his Bic .
Afflict with the plague .,She was afflicted by the death of her parents .
Post a warning at the dump .,The newspaper posted him in Timbuktu .
Pinnacle a pediment .,He did not want to be pinnacled .
Lie down on the bed until you feel better .,She lied when she told me she was only 29 .
Do n't twist my words .,Twist the dough into a braid .
Can I invite you for dinner on Sunday night ?,The organizers invite submissions of papers for the conference .
Render the brick walls in the den .,The face of the child is rendered with much tenderness in this painting .
We combust coal and other fossil fuels .,The professor combusted when the student did n't know the answer to a very elementary question .
I 'd flip if anyone broke my phone .,He flipped when he heard that he was accepted into Princeton University .
These delicate plants do not transplant easily .,Transplant the young rice plants .
Heel a golf ball .,Heel that dance .
I would love to have dinner but I have to catch a plane .,We caught something of his theory in the lecture .
Hyenas scavenge .,She scavenged the garbage cans for food .
Flood the market with tennis shoes .,The swollen river flooded the village .
Just steam the vegetables .,Her indifference to his amorous advances really steamed the young man .
The operator could n't get Kobe because of the earthquake .,I 'll get this finished by lunchtime .
Recruit new soldiers .,The lab director recruited an able crew of assistants .
Inject hydrogen into the balloon .,Now lie back while we inject you with the anesthetic .
Cleat running shoes for better traction .,Cleat a line .
One can never fully repair the suffering and losses of the Jews in the Third Reich .,She repaired her TV set .
Wail in self - pity .,She wailed with pain .
"By adding "" -ness "" , you can form a noun from an adjective .",Form cylinders from the dough .
The children began to clap in time with the music .,The big bird clapped its wings .
Conserve your energy for the ascent to the summit .,Mom always conserved the strawberries we grew in the backyard .
Create a poem .,Create one a peer .
The stick does not bend .,Bend your knees .
They worship in the traditional manner .,Many Hindus worship Shiva .
Dip the brush into the paint .,She dipped her knee .
"Fuel aircraft , ships , and cars .",Fuel the debate on creationism .
I appreciate your efforts .,The yen appreciated again !
Inject heroin .,He injected new life into the performance .
To mire a horse or wagon .,Our people should not be mired in the past .
To pierce a mystery .,The path pierced the jungle .
