memType,storyIx,sentIx,sent,majorBin,expectedBin,eventOrNot
recalled,1,11,It took a couple hours but it looked great.,0.25,0.0,0.25
recalled,1,15,"A young girl, who was visiting the neighborhood, asked to help paint.",0.5,0.25,0.75
recalled,1,17,It was a fun time painting the manatee.,0.25,0.125,0.375
recalled,1,18,"The outline of the manatee looked really bad at this point, so I got some black paint and went over the entire outline having to change some of what we had previously painted.",0.375,0.125,0.5
retold,3,5,The sun was starting to come up and it was going to be a very hot day but the fun of painting in the street helped to make you forget all of that.,0.25,0.0,0.25
retold,3,6,I soon finished with the help of others the sun beams.,0.25,0.125,0.375
retold,3,9,A young girl was wanting to help paint too so I offered to share the manatee.,0.375,0.125,0.5
retold,3,11,She had a great time helping.,0.25,0.125,0.375
retold,3,12,I had to re-paint the lines that outlined the manatee since they were a little off.,0.625,0.125,0.75
retold,3,13,It looked amazing and I had a great feeling to know that I could drive by the mural and see my manatee that we painted.,0.25,0.125,0.375
imagined,1,0,I'm still so angry at mom for not admitting she's wrong!,0.75,0.25,0.75
imagined,1,1,I finally got the courage to tell her how her hitting me when I was younger really affected me and she still feels like she's justified in it.,0.75,0.125,0.875
imagined,1,3,Especially when it was for something so dumb like not cleaning my room.,0.25,0.0,0.25
imagined,1,12,Sometimes I just hate her.,0.125,0.0,0.125
imagined,1,14,"Just say, oops I made a big mistake and it wont happen again.",0.125,0.0,0.125
recalled,3,0,My cousin told me my mom is coming to town next week.,0.75,0.25,0.875
recalled,3,2,Of course when i said no I was made out to be the bad guy again.,0.5,0.25,0.625
recalled,3,5,When I was finally ready to give her a chance that went all the way left.,0.375,0.0,0.375
recalled,3,6,I asked her how did I get burned why do i have what looks like cigarette marks on my body ?,0.375,0.125,0.5
retold,2,0,My mom is coming to town everybody keeps telling me .,0.75,0.375,1.0
retold,2,7,I remember I asked her one year about my childhood and she said God has already forgiven me for the things that have happened to you.,0.625,0.0,0.625
imagined,1,0,Three months ago I lost a job that paid minimum wage.,0.875,0.125,0.875
imagined,1,2,That's how I found myself homeless.,0.875,0.0,0.875
imagined,1,7,"My eyes now  follow their peaceful smiles, their kids full of crisp laughter as they casually walk about the grounds.",0.125,0.0,0.125
imagined,1,9,That's very different than being me who is now a drifter who never dreams anymore.,0.125,0.0,0.125
imagined,1,15,I hold onto my faith fiercely hoping a miracle might come along.,0.125,0.0,0.125
recalled,3,0,I recently came to the realization that most of what I believed in life was a lie.,0.625,0.25,0.875
recalled,3,3,A short time ago though I realized that this was not the life for me.,0.5,0.25,0.625
recalled,3,4,Of course I realized this too late.,0.125,0.0,0.125
recalled,3,7,"So, in need of some relief, I traveled to south Florida to see an old friend.",0.625,0.25,0.875
recalled,3,13,There is a scene in the movie 'Office Space' that really strikes home.,0.125,0.0,0.125
recalled,3,14,"In a moment of clarity, Peter, the main character, tell his psychologist that each day he wakes up is the worst day of his life.",0.25,0.125,0.375
recalled,3,15,I feel him.,0.125,0.0,0.125
recalled,3,17,"I now find myself thinking about this each day, planning how I might change things, trying to find the courage to become the person I want to be, to live the life I have always wanted.",0.375,0.125,0.5
retold,2,0,"October, I feel you.",0.375,0.125,0.375
retold,2,10,I'll promise to read more.,0.375,0.125,0.375
retold,2,11,"A few classics, a few books for guilty pleasures.",0.125,0.0,0.125
retold,2,13,Get healthy and have more energy for my kids when I get home.,0.125,0.0,0.125
retold,2,14,I'll promise to volunteer.,0.375,0.25,0.625
retold,2,15,"Leaving the world a better place, making connections with those around me, doing good when no one is looking.",0.125,0.0,0.125
retold,2,16,I'll make promises to travel more.,0.375,0.25,0.625
retold,2,17,"This is never really a promise, but a reminder that life is short, the world is small, and if I do not put time aside to see new places 'that day' will never come.",0.125,0.0,0.125
retold,2,18,"So, October, I guess I am glad to see you.",0.125,0.0,0.125
retold,2,19,You are my first step in winter to a new year.,0.125,0.0,0.125
imagined,2,0,I have been unlucky with love for much of my life.,0.375,0.125,0.5
imagined,2,1,It's crazy because the same can be said for my friend Megan.,0.375,0.125,0.5
imagined,2,2,Megan and I went to college together and lived in the same apartment complex for three years.,0.625,0.375,0.75
imagined,2,4,It's funny but we just never seemed to be single at the same time.,0.25,0.125,0.375
imagined,2,5,Then one night we were out with another friend at a bar together and joked about how we should just give up looking for a partner and date each other.,0.875,0.125,0.875
imagined,2,6,It was then that a light bulb seemed to go off in both of our heads.,0.625,0.0,0.625
imagined,2,7,Our other friend ended up leaving early so we just chatted all night and eventually went home together.,0.625,0.0,0.625
imagined,2,8,We hit it off perfectly.,0.375,0.125,0.5
imagined,2,9,"We have always had great chemistry together and shared many interests, so it made sense.",0.125,0.0,0.125
imagined,2,10,We also appeared to be very much attracted to each other.,0.125,0.0,0.125
imagined,2,11,"This only happened a month ago, but we still have yet to inform some of our good friends.",0.375,0.0,0.375
imagined,2,13,But sometimes that can be inevitable with a big group of friends like we have.,0.125,0.0,0.125
imagined,2,14,I know right now that Megan and I seem like a perfect match.,0.125,0.0,0.125
imagined,2,15,"Hopefully we will last and can continue to have fun together, regardless of what our friends say.",0.125,0.0,0.125
recalled,3,1,She's an old girlfriend of mine.,0.375,0.25,0.625
recalled,3,2,And I'm sponsoring her in a twelve-step program.,0.375,0.25,0.625
recalled,3,5,We hadn't seen each other face-to-face in years.,0.25,0.125,0.25
recalled,3,6,"When she showed up, we immediately started flirting.",0.625,0.375,0.875
recalled,3,8,She ended up staying the night.,0.625,0.125,0.625
recalled,3,9,We became romantically involved even though both of us sort of knew better.,0.625,0.125,0.625
recalled,3,10,But we've been doing great since.,0.25,0.125,0.25
recalled,3,12,"It was worth the risk, we both agreed.",0.125,0.0,0.125
recalled,3,13,"I must admit, the 'wrong' nature of what we did sort of made it more appealing.",0.125,0.0,0.125
recalled,3,14,I think she would agree with that.,0.125,0.0,0.125
retold,1,0,I am a recovering alcoholic and she is a recovering codependent.,0.5,0.0,0.5
retold,1,1,People of the same gender aren't supposed to sponsor one another in 12-Step programs.,0.375,0.125,0.375
retold,1,2,But I ended up sponsoring her.,0.75,0.125,0.875
retold,1,5,But being that close to someone and watching her grow and learn to be happy and care for herself made me sort of fall in love with her.,0.875,0.125,0.875
retold,1,6,I told her about my feelings and we started dating.,0.75,0.375,0.875
retold,1,9,But we became romantically involved anyway.,0.25,0.125,0.25
retold,1,12,We have more or less proved everyone wrong.,0.25,0.125,0.375
retold,1,13,"We are very happy, and, to be honest, we are one of the healthiest couples I know.",0.125,0.0,0.125
retold,1,14,"I have high hopes for us, and she does, too.",0.125,0.0,0.125
imagined,2,0,"Four months ago, I had a wild time going to a family wedding.",0.875,0.625,0.875
imagined,2,4,I talked to my sister and she has gotten a job in a big advertising firm.,0.5,0.375,0.875
imagined,2,5,I talked to my brother and he just graduated college with a job prospect.,0.5,0.375,0.875
imagined,2,6,My older brother is getting married to a rich tycoon woman.,0.75,0.25,0.875
imagined,2,7,He will be very happy with the mansion he is moving into.,0.375,0.125,0.5
imagined,2,9,I hope his life will have meaning.,0.125,0.0,0.125
imagined,2,11,I threw up on my older brother.,0.875,0.125,0.875
recalled,3,0,The event was my nephew Jimmy and Adriennes wedding.,0.625,0.5,0.75
recalled,3,1,It was a destination wedding.,0.375,0.125,0.5
recalled,3,2,I was not too far away.,0.125,0.0,0.125
recalled,3,3,We were able to drive there in 4 hours.,0.375,0.125,0.5
recalled,3,4,Quite a few guests did travel via airlines.,0.25,0.125,0.375
recalled,3,5,It was the first time in almost 10 years all my extended family was planning to get together.,0.75,0.25,0.75
recalled,3,8,He brought  his serious girlfriend Cristal.,0.5,0.25,0.75
recalled,3,14,This wedding was at a beautiful bed and breakfast.,0.25,0.125,0.375
recalled,3,15,The weather was gorgeous.,0.25,0.125,0.375
retold,1,0,This was my nephew's wedding.,0.875,0.625,0.875
retold,1,6,"The wedding was at a wonderful venue, a romantic B&B with a stunning setting.",0.5,0.375,0.625
retold,1,9,One of the shocking events was watching my cousin (female) smoking a cigar with the men.,0.875,0.125,0.875
retold,1,10,Then to top it off her mom who was 70+ comes out and takes the cigar from her and takes a few puffs on it.,0.875,0.125,0.875
retold,1,12,My wife and I actually were thinking that we last saw them when my wife was pregnant with our 12 year old daughter.,0.25,0.125,0.375
retold,1,13,It was the first time I actually danced at a formal event with my daughter.,0.625,0.375,1.0
imagined,1,1,"Before long over 20 years passed and I realized something was missing, I wanted a Masters degree, it never left my mind.",0.25,0.125,0.375
imagined,1,2,The opportunity was present and I am so glad I finally took it.,0.625,0.5,0.75
imagined,1,3,"But what really matters on this special day is not only proving to myself I could do it, but showing my Daughter to never give up.",0.125,0.0,0.125
imagined,1,4,"The pride I feel inside from accomplishing my goal, but the feeling of completeness there is from my Daughter receiving her Masters the same day is indescribable.",0.625,0.125,0.75
imagined,1,6,"The told me continuously to start classes, to get moving on it, at times there were almost relentless about it.",0.25,0.0,0.25
imagined,1,7,"I could see it in their eyes, how very much they wanted me to complete my education, I felt that drive in them, that sense of pride they would have in me.",0.25,0.125,0.25
imagined,1,8,"Before they passed away I made a promise, to me I took an oath in their presence, that I would no matter what complete my Masters degree.",0.75,0.25,0.75
imagined,1,9,"They never let me forget that promise, my mother reminded me of it daily, my father talked about it often and I carried that around with me until this day.",0.125,0.0,0.125
imagined,1,11,"At first she could not grasp the meaning of it all to me, the sense of gratitude I had for my parents as well as what it meant to them for me to get my higher level degree.",0.375,0.125,0.5
imagined,1,14,"It brought me great happiness to be able to share the day with her, to get a degree the same time she did.",0.25,0.125,0.25
recalled,3,1,"The sun was shining, it was warm and there wasn't a cloud in the sky.",0.125,0.0,0.125
recalled,3,2,This day would be a day that would forever change my life.,0.5,0.125,0.5
recalled,3,3,I had worked hard for what was about to happen and I had sacrificed much of my family life to reach this goal.,0.375,0.0,0.375
recalled,3,4,Today was the day that I would receive my Masters degree in Mechanical Engineering.,1.0,0.25,1.0
recalled,3,5,This had been a goal since I graduated with my Bachelors degree almost 25 years earlier.,0.25,0.0,0.25
recalled,3,7,"Well, that time came 2 years ago when I took the step of enrolling in school at the age of 46.",0.625,0.5,0.875
recalled,3,8,Did I need the Masters degree?,0.25,0.125,0.25
recalled,3,9,Would it change my life?,0.125,0.0,0.125
recalled,3,10,Would it allow me to make more money and be more successful?,0.125,0.0,0.125
recalled,3,12,I mainly did it to keep a promise that I made to my parents when I had started my Family.,0.25,0.125,0.375
recalled,3,13,It had been 25 years since I made that promise to them and now they wouldn't be here to witness it.,0.25,0.0,0.25
recalled,3,15,Should I have done it earlier so that my parents could have been here?,0.125,0.0,0.125
recalled,3,17,"What made this even more special is that I would receive my Degree alongside of my Daughter who on the exact day, was receiving her Masters degree in Chemical Engineering.",0.625,0.0,0.625
recalled,3,20,I don't know what caused the sudden surge of emotions but part of me felt my parents right there on the stage with me.,0.125,0.0,0.125
retold,2,3,"During my senior year and just before entering the Master's program, my girlfriend was pregnant.",1.0,0.125,1.0
retold,2,4,I was happy because I was going to be a father but upset because I would not be able to get my Master's degree.,0.5,0.125,0.5
retold,2,5,My parents were devastated and i'm sure that they were hurt.,0.5,0.125,0.5
retold,2,6,My girlfriend and I decided to marry and raise our child before returning to school.,0.875,0.5,0.875
retold,2,8,I continually put it off until one day that I promised my parents that I would go back to school.,0.625,0.25,0.625
retold,2,9,The day came when my daughter received her Bachelor's degree in Biology and we made a pact to get our Master's degree together and that we were going to do it for her Grandpa and Grandma.,0.875,0.25,0.875
retold,2,11,"On the day of graduation, before the commencement, I sat in the car with my Wife and silently cried.",0.625,0.375,0.75
retold,2,16,I was so proud of my daughter and I knew that 2 other people were looking down on me with the same pride.,0.25,0.0,0.25
imagined,3,2,But I can't help but feel a bit of residual stress as I think over how I almost ruined it for her.,0.375,0.125,0.5
imagined,3,3,"Maybe that's dramatic, but I felt like I was ruining things when I spilled my champagne down the front of my bridesmaid's gown when she was counting on me to just show up and be presentable.",0.625,0.125,0.75
imagined,3,4,"Of course,  she wasn't mad at me in the end (maybe that's because we got it cleaned up), but the stress and embarrassment I felt was crazy.",0.375,0.125,0.5
imagined,3,5,"I haven't been to many big events like that lately, and I was freaking out.",0.25,0.125,0.375
imagined,3,9,"But of course, that would've also ruined it because of how we'd rehearsed everything and I had to walk with a groomsman.",0.375,0.0,0.375
imagined,3,11,Leave it to an old-timer to know all the secret tricks for getting stains out.,0.625,0.0,0.625
imagined,3,12,"It took her no time at all to make my dress good as new, and the weight just instantly lifted off my chest.",0.375,0.125,0.5
recalled,1,0,"Four months ago, my cousin got married.",0.75,0.625,0.875
recalled,1,5,The most memorable moment was when I spilled champagne on my dress before the wedding.,0.875,0.125,1.0
recalled,1,7,"Thankfully, one of the girl's mom was a dry cleaner and immediately took the dress to get the stain out.",0.625,0.0,0.625
retold,2,0,"Dear diary, about 6 months ago my cousin got married.",0.875,0.375,0.875
retold,2,6,"There was a lot of people in a tight space, so, I bumped into someone and spilled champagne entirely down my blush gown!",0.75,0.0,0.75
retold,2,9,We called my Aunt to come in and she immediately had me take off the dress.,0.375,0.25,0.625
retold,2,11,"After that, she held the dress under a dryer.",0.25,0.125,0.375
retold,2,12,"Miraculously, the stain came out and it dried in time.",0.375,0.25,0.625
retold,2,14,The wedding went on without a hitch.,0.125,0.0,0.125
imagined,3,0,3 week ago my dog passed away and I was not there to see her go.,1.0,0.0,1.0
imagined,3,2,I knew that my dog Shelly was sick and that she was in the hospital but I thought I would make it in time.,0.5,0.375,0.75
imagined,3,6,She got me through the school transfer in 6th grade and was my rock.,0.25,0.125,0.375
imagined,3,7,I couldn't believe it when I got the call that she was in the hospital because she stopped eating.,0.375,0.25,0.625
imagined,3,8,I prayed that she would hold on long enough so that I could drive back after finals and see her one last time and tell her how much she meant to me.,0.375,0.25,0.5
imagined,3,11,"On the way there Mom called, and gave me the news.",0.375,0.25,0.5
imagined,3,12,I had to pull over on the side of the road I was crying so hard.,0.625,0.375,0.625
imagined,3,16,Thank you Shelly.,0.125,0.0,0.125
recalled,1,0,"Three weeks ago, my dog died.",1.0,0.0,1.0
recalled,1,1,I was not there.,0.375,0.125,0.375
recalled,1,4,"In the middle of the night, my only real option as a non-driver was Greyhound.",0.375,0.125,0.5
recalled,1,7,"When I got there, I was denied the ability to board.",0.875,0.125,0.875
recalled,1,8,My identification had recently expired.,0.5,0.125,0.5
recalled,1,10,"I felt profoundly hopeless, hysterical, self-loathing, and broken.",0.375,0.25,0.375
recalled,1,12,"As it turned out, I would not have made it.",0.5,0.0,0.5
recalled,1,13,My dog went sometime in her sleep in the night before I would have arrived.,0.75,0.5,0.875
recalled,1,16,My parents had her cremated.,0.625,0.5,0.875
recalled,1,17,I still haven't been able to go back home.,0.375,0.25,0.5
retold,2,0,"Over the summer, I was in another state visiting family.",0.875,0.375,1.0
retold,2,2,"For one reason or another, I chose not to.",0.5,0.125,0.625
retold,2,3,"The next day, my mom informed me that my dog was not doing well.",0.875,0.25,1.0
retold,2,4,"Immediately, I knew I had to try to get back.",0.375,0.25,0.5
retold,2,7,"While trying to board, I was denied access because my identification had expired since I left town.",0.875,0.125,0.875
retold,2,8,I was profoundly crushed.,0.25,0.0,0.25
retold,2,11,"However, I woke up to a text from my mom saying that my dog had not made it through the night.",1.0,0.25,1.0
imagined,2,0,I always knew my boyfriend was a liar.,0.875,0.5,0.875
imagined,2,2,But two months ago I was at my wit's end.,0.625,0.375,0.75
imagined,2,6,That's when I knew.,0.25,0.125,0.25
imagined,2,8,"He drove for just five miles, to a subdivision nowhere close to where his friends live.",0.5,0.125,0.5
imagined,2,10,Once he pulled into a random driveway a young girl wearing a leather jacket came out and got in his car.,0.625,0.125,0.625
imagined,2,11,They passionately kissed and accelerated off into the night.,0.625,0.25,0.75
imagined,2,12,I didn't bother to follow them.,0.25,0.125,0.375
recalled,3,0,"A couple months ago, I was involved in an incident where I found out that my boyfriend was cheating on me.",1.0,0.25,1.0
recalled,3,1,"I was out to dinner with him at a relatively nice restaurant, and I noticed that he would not stop checking his phone.",0.875,0.25,0.875
recalled,3,2,"I had noticed that he had done this occasionally in the weeks preceding this event, but it had not been to this extent.",0.5,0.125,0.5
recalled,3,5,"I have a hard time executing confrontations, but I decided that enough was enough and I should definitely say something to him.",0.5,0.375,0.625
recalled,3,9,"When we left the restaurant and began driving home, he told me that he was going to drop me off at my house.",0.5,0.375,0.75
recalled,3,13,"I kissed him and said by like usual, but as soon as he pulled out of my driveway and left, I got in my car and proceeded to follow him.",0.625,0.125,0.625
recalled,3,14,"I tried to remain as discrete as possible, and I wound up following him to a house that wasn't his.",0.5,0.375,0.625
recalled,3,15,"I was him go inside, and I immediately knew that something was wrong.",0.5,0.25,0.625
recalled,3,16,"I got out of my car, knocked on the door, and when a woman answered the door, I immediately turned around got back in my car and went home.",0.75,0.25,0.75
retold,1,0,"Since this event has happened, I have since reconciled with my boyfriend.",0.875,0.125,1.0
retold,1,1,"I was incredibly angry and upset with him at first, I wanted absolutely nothing to do with him.",0.375,0.25,0.5
retold,1,3,"Eventually, I gave in, and we are now back together.",0.625,0.25,0.875
retold,1,5,"I do sometimes get feelings of suspicion or feelings that he is going to cheat on me once again, but I try to see past those feelings because I know that he really loves me.",0.375,0.25,0.5
retold,1,9,"It has not been easy, but I still love him and care about him, and I am trying to make this work the best that I can.",0.5,0.375,0.625
imagined,3,0,"Three months ago, I graduated college... finally.",1.0,0.75,1.0
imagined,3,1,"I had my master's under my belt, teaching credentials in line.",0.5,0.25,0.5
imagined,3,4,I was able to get a cushy job at a private school for all grades K-12.,0.875,0.75,1.0
imagined,3,5,"The pay was okay, but it was more about finally being able to do what I love, what I spent so long trying to achieve.",0.25,0.0,0.25
imagined,3,6,"Unfortunately, we took budget cuts.",0.875,0.125,0.875
imagined,3,7,"I was the last hired, so I was the first fired.",0.875,0.25,0.875
imagined,3,8,"I had to accept a teaching job at a public school after getting used to my dreamy, safe, private school job.",0.75,0.625,0.875
imagined,3,9,"The pay is horrendous, it's almost like the government doesn't want kids to learn anything.",0.25,0.125,0.375
imagined,3,10,"I had to buy most of the supplies, and some of the kids are so poor, I ended up having to buy supplies for the kids to even be able to learn.",0.75,0.25,0.875
imagined,3,12,I thought my student loans were bad... these credit card bills as a public school teacher may kill me before I even get a chance to get a raise in 10 years.,0.5,0.25,0.625
imagined,3,15,"I feel like I am right where I am supposed to be, helping these kids.",0.375,0.125,0.375
imagined,3,16,Even if I end up having to get a part-time job on top of this to make ends meet.,0.1428571428571428,0.0,0.1428571428571428
recalled,2,0,The event that was most memorable and striking to me within the last few months was graduating with my teaching credential and master's degree.,0.875,0.5,0.875
recalled,2,6,To finally be done with my credential and master's was a huge accomplishment for me.,0.625,0.5,0.625
recalled,2,9,"That is, unless I decide to go back for my doctorate degree.",0.25,0.125,0.25
retold,1,0,When I graduated with my credential and master's degree it was June.,1.0,0.625,1.0
retold,1,2,"However, there were not very many teaching jobs available during this time period.",0.375,0.25,0.5
retold,1,4,This meant that I only had one job interview during that time.,0.875,0.625,1.0
retold,1,5,"Unfortunately, I was the runner up for that position.",0.625,0.125,0.75
retold,1,8,This is not as good of a job due to financial concerns.,0.375,0.125,0.5
retold,1,10,You are not able to establish the same types of relationships with students that you can in your own classroom.,0.25,0.125,0.375
retold,1,11,It was surprising to me how bad the job market has been considering the news is constantly saying that there is a teacher shortage.,0.75,0.25,0.875
retold,1,13,My substitute teaching job is not enough to cover these loans.,0.25,0.125,0.375
retold,1,14,I think that they should be more honest with the state of the teacher job market.,0.25,0.125,0.375
imagined,2,0,"Just four months ago, my daughter married her long time boyfriend.",0.875,0.5,1.0
imagined,2,1,I always knew they would get married but it was still kinda surprising and emotional when they announced it.,0.375,0.25,0.5
imagined,2,2,The wedding itself was just a small family affair that happened at the court house with a celebration afterwards.,0.375,0.25,0.625
imagined,2,5,One of the best things about this wedding is that my son came and he and my daughter got to be reunited with each other.,0.5,0.125,0.625
imagined,2,6,They've been arguing and hostile with each other for the past five years so this was kinda a big deal.,0.375,0.125,0.375
imagined,2,7,I was so glad to see them finally reconcile with each other because it's been a huge strain for me having them fighting with each other.,0.375,0.25,0.625
imagined,2,10,So this was a big deal to me and made the wedding all the more meaningful.,0.375,0.25,0.5
imagined,2,11,"I didn't know that my son was going to come and actually I expected him not to, so I was really surprised when he showed up.",0.375,0.0,0.375
imagined,2,12,I saw him talking to my daughter later that night at our house and I expected it to get heated but to my surprise they were laughing and smiling.,0.625,0.125,0.75
imagined,2,13,Turns out from what he told me later they both apologized to each other and decided life was too short to continue arguing.,0.375,0.0,0.375
imagined,2,17,Now I can't wait to become a grandmother.,0.5,0.125,0.5
recalled,1,0,My daughter finally married her long-time boyfriend.,0.875,0.625,1.0
recalled,1,1,It was a spur-of-the-moment thing.,0.5,0.0,0.5
recalled,1,2,She needed to be on his insurance but she had just quit her job.,0.5,0.25,0.75
recalled,1,3,"But it was very legitimate, too.",0.25,0.125,0.375
recalled,1,6,Everyone showed up in cutoffs or bathing suits and sandals or bare feet.,0.5,0.125,0.625
recalled,1,8,The way she looked at him when exchanging vows was precious.,0.25,0.125,0.375
recalled,1,11,"Honestly, the best part though was that my daughter and son reconnected.",0.5,0.375,0.75
recalled,1,12,She asked him to be a witness.,0.5,0.125,0.5
recalled,1,15,He was very honored to accept.,0.5,0.25,0.625
retold,3,0,My daughter finally married her longtime boyfriend.,0.75,0.5,1.0
retold,3,3,I vividly remember the look on her face.,0.375,0.25,0.625
retold,3,12,They ended up disappearing off together for about an hour.,0.625,0.375,1.0
retold,3,13,"My daughter's new husband was like, 'Where is my wife?'",0.5,0.125,0.5
imagined,1,0,My heart is utterly broken.,0.75,0.0,0.75
imagined,1,1,"Two months ago in May, my sister-in-law passed away.",0.875,0.125,0.875
imagined,1,2,It was sudden and very tragic.,0.25,0.0,0.25
imagined,1,3,She was driving home from work in the rain when she lost control of her car and get into an accident on the interstate.,0.75,0.25,0.75
imagined,1,6,"I didn't like the artist that we were going see, but it was for her birthday that we'd missed doing something for in February.",0.25,0.0,0.25
imagined,1,8,I considered my sister-in-law as much one of my actual siblings as my brother and sister are.,0.125,0.0,0.125
imagined,1,11,"This is a very tragic time for both of our families, because she was really a light in our lives.",0.125,0.0,0.125
imagined,1,12,My family is pulling through as best we can and are making sure that we are there for each other in this trying time.,0.375,0.125,0.5
imagined,1,13,"The funeral was difficult, but it was attended by so many people and my sister-in-law would've really been happy to know how many lives she touched when she was still here.",0.875,0.5,0.875
recalled,2,1,I come from a very large family (I'm the youngest of 7) and there were 10 of us total who attended the concert.,0.375,0.25,0.5
recalled,2,2,It was an awesome show and I would rate it as one of the top 6 or 7 concerts I have ever attended - and I have attended a LOT.,0.25,0.125,0.375
recalled,2,3,It was so enriching to spend time with my siblings because we don't get to do that often enough.,0.375,0.25,0.5
recalled,2,8,"Unfortunately, something tragic happened just 6 weeks before the concert.",0.625,0.125,0.75
recalled,2,9,She was outside in her garden and she had a massive aneurysm.,0.75,0.25,0.875
recalled,2,10,She was rushed to the hospital but it was too late.,0.25,0.125,0.375
recalled,2,11,She passed away that night.,0.75,0.125,0.875
recalled,2,12,We lost someone very special and dear to our hearts and the pain was palpable.,0.25,0.0,0.25
recalled,2,15,"After numerous conversations, we convinced him to go.",0.5,0.125,0.625
recalled,2,16,His oldest son took her place.,0.5,0.25,0.625
recalled,2,17,It was an emotional evening while we were at the concert but it was exactly what our family needed.,0.25,0.125,0.375
retold,3,1,She had some health issues in her adult life.,0.375,0.25,0.625
retold,3,2,She was diagnosed with diabetes when she was in her 40's.,0.875,0.25,1.0
retold,3,3,She had surgery on her neck a few months before she passed away.,1.0,0.375,1.0
retold,3,4,She was scheduled to have knee replacement surgery before she passed away.,0.625,0.375,0.875
retold,3,5,She was having a normal day on the day she passed away.,0.5,0.0,0.5
retold,3,8,She was in her garden when she suddenly had a massive aneurysm.,0.75,0.0,0.75
